0
Linha: 223 | HOST: WORKSTATION-1 | IP: 172.18.0.1 - Excecao:  Não inserido (Data deve ser informada)
Linha: 224 | HOST: WORKSTATION-2 | IP: 172.18.0.2 - Excecao:  Não inserido (Data deve ser informada)
Linha: 225 | HOST: WORKSTATION-3 | IP: 172.18.0.3 - Excecao:  Não inserido (Data deve ser informada)
Linha: 226 | HOST: WORKSTATION-3 | IP: 172.18.0.3 - Excecao:  Não inserido (Data deve ser informada)
Linha: 227 | HOST: WORKSTATION-2 | IP: 172.18.0.2 - Excecao:  Não inserido (Data deve ser informada)
Linha: 228 | HOST: WORKSTATION-1 | IP: 172.18.0.1 - Excecao:  Não inserido (Data deve ser informada)
Linha: 272 | HOST: WORKSTATION-2 | IP: 172.18.0.2 - Excecao:  Não inserido (Data deve ser informada)
Linha: 273 | HOST: WORKSTATION-3 | IP: 172.18.0.3 - Excecao:  Não inserido (Data deve ser informada)
Linha: 274 | HOST: WORKSTATION-1 | IP: 172.18.0.1 - Excecao:  Não inserido (Data deve ser informada)
Linha: 275 | HOST: WORKSTATION-1 | IP: 172.18.0.1 - Excecao:  Não inserido (Data deve ser informada)
Linha: 276 | HOST: WORKSTATION-2 | IP: 172.18.0.2 - Excecao:  Não inserido (Data deve ser informada)
Linha: 277 | HOST: WORKSTATION-3 | IP: 172.18.0.3 - Excecao:  Não inserido (Data deve ser informada)
Linha: 279 | HOST: WORKSTATION-12 | IP: 172.18.0.12 - Excecao:  Não inserido (Data deve ser informada)
Linha: 280 | HOST: WORKSTATION-3 | IP: 172.18.0.3 - Excecao:  Não inserido (Data deve ser informada)
Linha: 281 | HOST: SERVER-3 | IP: 172.20.0.3 - Excecao:  Não inserido (Data deve ser informada)
Linha: 282 | HOST: WORKSTATION-2 | IP: 172.18.0.2 - Excecao:  Não inserido (Data deve ser informada)
Linha: 283 | HOST: WORKSTATION-9 | IP: 172.18.0.9 - Excecao:  Não inserido (Data deve ser informada)
Linha: 284 | HOST: SERVER-2 | IP: 172.20.0.2 - Excecao:  Não inserido (Data deve ser informada)
Linha: 285 | HOST: SERVER-4 | IP: 172.20.0.4 - Excecao:  Não inserido (Data deve ser informada)
Linha: 286 | HOST: WORKSTATION-13 | IP: 172.18.0.13 - Excecao:  Não inserido (Data deve ser informada)
Linha: 287 | HOST: SERVER-5 | IP: 172.20.0.5 - Excecao:  Não inserido (Data deve ser informada)
Linha: 288 | HOST: WORKSTATION-14 | IP: 172.18.0.14 - Excecao:  Não inserido (Data deve ser informada)
Linha: 289 | HOST: SERVER-6 | IP: 172.20.0.6 - Excecao:  Não inserido (Data deve ser informada)
Linha: 290 | HOST: SERVER-7 | IP: 172.20.0.7 - Excecao:  Não inserido (Data deve ser informada)
Linha: 291 | HOST: SERVER-8 | IP: 172.20.0.8 - Excecao:  Não inserido (Data deve ser informada)
Linha: 292 | HOST: WORKSTATION-4 | IP: 172.18.0.4 - Excecao:  Não inserido (Data deve ser informada)
Linha: 293 | HOST: WORKSTATION-8 | IP: 172.18.0.8 - Excecao:  Não inserido (Data deve ser informada)
Linha: 294 | HOST: WORKSTATION-6 | IP: 172.18.0.6 - Excecao:  Não inserido (Data deve ser informada)
Linha: 295 | HOST: WORKSTATION-5 | IP: 172.18.0.5 - Excecao:  Não inserido (Data deve ser informada)
Linha: 296 | HOST: WORKSTATION-15 | IP: 172.18.0.15 - Excecao:  Não inserido (Data deve ser informada)
Linha: 297 | HOST: WORKSTATION-7 | IP: 172.18.0.7 - Excecao:  Não inserido (Data deve ser informada)
Linha: 298 | HOST: SERVER-9 | IP: 172.20.0.9 - Excecao:  Não inserido (Data deve ser informada)
